Lab number,Field number,Material dated,Taxa dated,Type of date,Locality,Map sheet,Elevation (m ASL),Submitter,Date submitted,Collector,Date collected,Updater,Date updated,Measured age,MA Sigma,Normalized age,NA Sigma,Delta 13C (per mil),Delta 13C Source,Significance,Site identifier,Site name,Latitude,Longitude,Stratigraphic component,Context,Associated taxa,Additional information,Comments,References
SI-2423R,1516,plant remains; restes de plantes,Sporobolus cf. giganteus,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1595,65,1745,65,-15.6,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,probably stratum 5; grass from a fiber pad overlying the cache of shell corn; FS1517,,,,Jennings; 1980; Geib; 1996
SI-3012R,1517,cultigen; cultigène,Zea mays,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1450,70,1670,70,-12,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,probably stratum 5; cached in a skin bag,,,,Jennings; 1980; Geib; 1996
UGa-905a,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,3375,200,3375,200,-25,,Late Archaic; Archaïque supérieur,42SV6,Sudden Shelter,,,Stratum 22,middle of stratum 22; dating the termination of component 3,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
GaK-1565,,plant remains; restes de plantes,grass,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,1810,80,1810,80,-25,,Late Prehistoric; anomalous; old; Préhistorique récent; anormal; vieux,42BO36,Hogup Cave,,,Stratum 16,stratum 16; square 105:90; full thickness of layer (FS 195); Shoshoni,,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-2077,,plant remains; restes de plantes,wood; bark; feces,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,2200,70,2200,70,-25,,Late Prehistoric; anomalous; old; Préhistorique récent; anormal; vieux,42BO36,Hogup Cave,,,Stratum 16,stratum 16; square 110L90 (FS 543);Shoshoni,,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-1566,,feces and plant remains; fèces et restes de plantes,wood and grass,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,480,80,480,80,-25,,Late Prehistoric; Préhistorique récent,42BO36,Hogup Cave,,,Stratum 16,stratum 16; square 100L80; collected from full thickness of layer (FS 196); Shoshoni,,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
SI-2334,,charcoal; charbon de bois,,,Box Elder County; Utah,a,,M.S. Berry,,,,,,405,60,405,60,-25,,Late Prehistoric; Préhistorique récent,42BO365,Remnant Cave,,,,stratum 6 hearth; with Paiute-Shoshoni pottery,,,,Berry; 1976
A-3513,,charcoal; charbon de bois,,,southern Waterpocket Fold; Kane County; Utah,a,,L.D. Agenbroad,,,,,,,,5500,80,-25,,Middle Archaic; Archaïque moyen,42KA2546,Bechan Cave,,,,auger test; uncertain context and association; assigned to cultural period 2,,,,Geib; 1996
AA-10371,,plant remains; restes de plantes,grass,,lower Glen Canyon; Kane County; Utah,a,,P.R. Geib,,,,,,,,5890,55,-12.1,,Middle Archaic; Archaïque moyen,42KA443,Hermitage,,,,padding of warp-faced plain weave sandal (FS 19.1) from aceramic midden deposit; feature 9,,,,Geib; 1996; 2000
AA-10372,,plant remains; restes de plantes,Yucca sp.,,lower Glen Canyon; Kane County; Utah,a,,P.R. Geib,,,,,,,,5665,60,-25,,Middle Archaic; Archaïque moyen,42KA443,Hermitage,,,,warp-faced plain weave sandal (FS 24) from aceramic midden deposit; feature 9,,,,Geib; 1996; 2000
AA-10378,,plant remains; restes de plantes,Yucca sp.,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,P.R. Geib,,,,,,,,6890,60,-25,,Middle Archaic; Archaïque moyen,42SA-?,Dust Devil Cave (NA7613),,,,warp-faced plain weave sandal (F 10.2); top of stratum 4,,,,Geib; 1996; 2000
AA-10379,,plant remains; restes de plantes,Yucca sp.,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,P.R. Geib,,,,,,,,6785,60,-25,,Middle Archaic; Archaïque moyen,42SA-?,Dust Devil Cave (NA7613),,,,warp-faced plain weave sandal (F 8.6); top of stratum 4,,,,Geib; 1996; 2000
AA-13003,,plant remains; restes de plantes,Yucca sp.,,lower Glen Canyon; Kane County; Utah,a,,P.R. Geib,,,,,,,,5810,70,-23.5,,Middle Archaic; Archaïque moyen,42KA433,Benchmark Cave,,,,warp-faced plain weave sandal (FS 77.5) from feature 35,,,,Geib; 1996; 2000
AA-13005,,plant remains; restes de plantes,Yucca sp.,,Upper Barrier Canyon; Wayne County; Utah,e,,P.R. Geib,,,,,,,,6390,65,-22,,Middle Archaic; Archaïque moyen,42WN420,Cowboy Cave,,,,warp-faced plain weave sandal (FS 1692.1); listed from stratum 4c; possibly from 4a or 4b,,,,Geib; 1996; 2000
AA-13006,,plant remains; restes de plantes,Yucca sp.,,Upper Barrier Canyon; Wayne County; Utah,e,,P.R. Geib,,,,,,,,6385,85,-21.9,,Middle Archaic; Archaïque moyen,42WN420,Cowboy Cave,,,,warp-faced plain weave sandal (FS 1790) from stratum 4b,,,,Geib; 1996; 2000
AA-13007,,plant remains; restes de plantes,Yucca sp.,,Upper Barrier Canyon; Wayne County; Utah,a,,P.R. Geib,,,,,,,,6350,85,-22.9,,Middle Archaic; Archaïque moyen,42WN421,Walter's Cave,,,,warp-faced plain weave sandal (FS 576.1) from feature 54; with a painted clay figurine,,,,Geib; 1996; 2000
Beta-16025,,plant remains; restes de plantes,yucca,,southern Waterpocket Fold; Kane County; Utah,a,,L.D. Agenbroad,,,,,,,,6750,120,-25,,Middle Archaic; Archaïque moyen,42KA2546,Bechan Cave,,,,open-twined sandal assigned to cultural period 1,,,,Geib; 1996; 2000
Beta-19919,,charcoal; charbon de bois,,,Glen Canyon; Kane County; Utah,u,,S. Eininger,,,,,,,,6500,80,-25,,Middle Archaic; Archaïque moyen,42KA2687,Perfect Ruin,,,,hearth encountered below a Pueblo trash deposit in a 1 x 1 m test,,,,Geib; 1996
Beta-19920,,charcoal; charbon de bois,,,Glen Canyon; Kane County; Utah,u,,S. Eininger,,,,,,,,6480,70,-25,,Middle Archaic; Archaïque moyen,42KA2687,Perfect Ruin,,,,hearth encountered below a Pueblo trash deposit in a 1 x 1 m test,,,,Geib; 1996
Beta-35559,,charcoal; charbon de bois,,,Garfield County; Utah,u,,B.L. Tipps,,,,,,,,5880,90,-25,,Middle Archaic; Archaïque moyen,42GA3132,Casa del Fuego,,,,disseminated charcoal with five unlined pits originating from an old ground surface buried by ca. 1.8 m of sand,,,,Geib; 1996
Beta-37954,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,5290,80,-25,,Middle Archaic; Archaïque moyen,42SA20615,,,,,feature 16; an unlined hearth,,,,Tipps; 1995
Beta-47743,,charcoal; charbon de bois,,,Comb Wash; San Juan County; Utah,a,,P.R. Geib,,,,,,,,6730,70,-25,,Middle Archaic; Archaïque moyen,42SA21153,Turkey Pen,,,,ash lens; feature 10; unit 3b,,,,Geib; 1996
Beta-48141,,charcoal; charbon de bois,,,Comb Wash; San Juan County; Utah,a,,P.R. Geib,,,,,,,,6120,70,-25,,Middle Archaic; Archaïque moyen,42SA21153,Turkey Pen,,,,hearth; feature 5; unit 3b; marking the end of early Archaic occupation of the shelter,,,,Geib; 1996
Beta-63481,,charcoal; charbon de bois,,,Camels Back Ridge; Tooele County; Utah,e,,D.N. Schmitt,,,,,,,,6110,90,,,Middle Archaic; Archaïque moyen,42TO-?,Sandwich Shelter,,,,hearth; top of stratum 8; maximum age of fauna,,,,Schmitt et al.; 2002
Beta-122774,,charcoal; charbon de bois,,,Camels Back Ridge; Tooele County; Utah,e,,D.N. Schmitt,,,,,,,,6390,70,,,Middle Archaic; Archaïque moyen,42TO-?,Sandwich Shelter,,,,hearth; top of stratum 5 or bottom of stratum 6,,,,Schmitt et al.; 2002
Beta-122775,,charcoal; charbon de bois,,,Camels Back Ridge; Tooele County; Utah,e,,D.N. Schmitt,,,,,,,,6430,60,,,Middle Archaic; Archaïque moyen,42TO-?,Sandwich Shelter,,,,hearth; top of stratum 6 or bottom of stratum 7; maximum age of fauna,,,,Schmitt et al.; 2002
Beta-122776,,charcoal; charbon de bois,,,Camels Back Ridge; Tooele County; Utah,e,,D.N. Schmitt,,,,,,,,6550,130,,,Middle Archaic; Archaïque moyen,42TO-?,Sandwich Shelter,,,,hearth; top of stratum 5 or bottom of stratum 6; maximum age of fauna,,,,Schmitt et al.; 2002
GaK-1563,,charcoal; charbon de bois,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,6400,100,6400,100,-25,,Middle Archaic; Archaïque moyen,42BO36,Hogup Cave,,,Stratum 6,stratum 6; square 95L85; bottom of layer (FS 187),,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-1567,,plant remains; restes de plantes,wood; bark,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,5960,100,5960,100,,,Middle Archaic; Archaïque moyen,42BO36,Hogup Cave,,,Stratum 6,stratum 6; square 95L90; bottom of layer (FS 199),,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1994: 1048
GaK-1568,,wood; bois,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,4610,100,4610,100,-25,,Middle Archaic; Archaïque moyen,42BO36,Hogup Cave,,,Stratum 8,stratum 8; square 100L80; sticks collected from full thickness of layer (FS 204),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-2084,,feces; fèces,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,6190,110,6190,110,-25,,Middle Archaic; Archaïque moyen,42BO36,Hogup Cave,,,Stratum 7,stratum 7; square 100L80 (FS92-155),,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GX-1288,,plant remains; restes de plantes,Artemisia sp. bark,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,5795,160,5795,160,-25,,Middle Archaic; Archaïque moyen,42BO36,Hogup Cave,,,Stratum 5,stratum 5; square 105L90 (FS 299),,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
I-3362,,charcoal; charbon de bois,,,Utah County; Utah,a,,J.M. Mock,,,,,,4640,120,4640,120,-25,,Middle Archaic; Archaïque moyen,42UT104,Spotten Cave,,,Zone 1,zone Ib,,,,Marwitt and Fry; 1973; Faunmap 1545
I-3363,,charcoal; charbon de bois,,,Utah County; Utah,a,,J.M. Mock,,,,,,4200,120,4200,120,-25,,Middle Archaic; Archaïque moyen,42UT104,Spotten Cave,,,Zone 1,zone Ib,,,,Marwitt and Fry; 1973; Faunmap 1545
I-4484,,charcoal; charbon de bois,,,Utah County; Utah,a,,J.M. Mock,,,,,,5580,120,5580,120,-25,,Middle Archaic; Archaïque moyen,42UT104,Spotten Cave,,,Zone 1,zone Ib,,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Faunmap 1545
M-783,,charcoal; charbon de bois,,,Uintah County; Utah,e,,R.C. Thorne,,,,,1999-06-24,4230,125,4230,125,-25,,Middle Archaic; Archaïque moyen,42UN-?,Thorne Cave,,,,Level 7; campfire in lowest habitation layer; ca. 6 ft depth; overlain by 3-4 ft of sterile sand,,,,Marwitt and Fry; 1973; Crane and Griffin; 1961: 118; Faunmap 1159
RL-352,,charcoal; charbon de bois,,,Emery County; Utah,e,,E.I. DuBloois,,,,,1999-04-02,6760,180,6760,180,,,Middle Archaic; Archaïque moyen,42EM-?,Joe's Valley Alcove,,,,Bed I; Level 2b,,,,Benedict and Olson; 1978; Tucek; 1977: 250
RL-353,,charcoal; charbon de bois,,,Emery County; Utah,e,,E.I. DuBloois,,,,,1999-04-02,6200,190,6200,190,-25,,Middle Archaic; Archaïque moyen,42EM-?,Joe's Valley Alcove,,,,Bed I; Level 3,,,,Benedict and Olson; 1978; Tucek; 1977: 250
RL-422,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,6670,180,6670,180,-25,,Middle Archaic; Archaïque moyen,42SV6,Sudden Shelter,,,Stratum 5,near bottom of stratum 5; component 1; with Pinto; Elko corner- and side-notched; Northern and Rocker side-notched; and Humboldt A-1 points,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
RL-1240,,charcoal; charbon de bois,,,Sevier County; Utah,a,,E.I. DeBloois,,,,,,4270,210,4270,210,-25,,Middle Archaic; Archaïque moyen,42SV1325,Aspen Shelter,,,,base of cultural deposits with gypsum projectile points,,,,Cordell; 1981: 213; James and Pecotte; 1983: 36; Faunmap 1233
SI-2420,,plant remains; restes de plantes,Yucca harrimaniae,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,,,6675,75,-24.3,,Middle Archaic; Archaïque moyen,42WN420,Cowboy Cave,,,Stratum 3,stratum 3i; sandal fragment from ashy midden fill (FS 485); with Northern side-notched and Elko points,,,,Geib; 1996; 2000; Jennings; 1980; Faunmap 1069
SI-2421,2158,charcoal; charbon de bois,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,6390,70,6390,70,-25,,Middle Archaic; Archaïque moyen,42WN420,Cowboy Cave,,,Stratum 3,"stratum 4a; ""sterile"" red sand layer; actually part of the early Archaic occupancy of the cave",,,,Jennings; 1980; Faunmap 1069; Geib; 1996
Tx-1260,,plant remains; restes de plantes,Yucca sp. leaves,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,,,6840,130,-25,,Middle Archaic; Archaïque moyen,42SA-?,Dust Devil Cave (NA7613),,,,warp-faced plain weave sandal; top of stratum 4; square F9; Desha complex,,,,Benedict and Olson; 1978; Geib; 1996; 2000; Valastro et al.; 1975: 91
Tx-1261,,charcoal; charbon de bois,,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,6740,110,6740,110,-25,,Middle Archaic; Archaïque moyen,42SA-?,Dust Devil Cave (NA7613),,,,square F9; Hearth 35; top of stratum 4; Desha complex,,,,Benedict and Olson; 1978; Valastro et al.; 1975: 91; Geib; 1976; 1996
UGa-637,13,charred wood; bois carbonisé,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,6830,80,6830,80,-25,,Middle Archaic; Archaïque moyen,42WN420,Cowboy Cave,,,Stratum 3,stratum 3?; recovered during preliminary testing,,,,Jennings; 1980; Faunmap 1069; Geib; 1996
UGa-906,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,6310,240,6310,240,-25,,Middle Archaic; Archaïque moyen,42SV6,Sudden Shelter,,,Stratum 8,near bottom of stratum 8; dating end of component 1; with Elko corner- and side-notched points,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
W-1359,,charcoal; charbon de bois,,,Uintah County; Utah,e,,H.E. Malde,,,,,1999-07-02,4170,250,4170,250,-25,,Middle Archaic; Archaïque moyen,42UN-?,Thorne Cave,,,,Level 7; lowest habitation layer; ca. 6 ft depth; overlain by 3-4 ft of sterile sand,,,,Marwitt and Fry; 1973; Faunmap 1159; Levin et al.; 1965: 385
Beta-20704,,mammoth bone; os de mammouth,Mammuthus sp.,,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,10505,260,,,palaeobiology; anomalous; young; paléobiologie; anormal; jeune,42KA-VP,Shrubox Alcove,,,,skeleton at the base of laminated lacustrine and fluvial sediments; well below the dung bolus dated by Beta-20705,,,,Mead and Agenbroad; 1992
A-526,,horse feces; fèces de cheval,Equus sp.,,Glen Canyon; San Juan County; Utah,e,,P.S. Martin,,,,,1999-07-07,24700,1400,24700,1400,-25,,palaeobiology; paléobiologie,42SA374,Oakleaf Alcove,,,,tentatively identified bolus; entirely consumed for dating,,,,Haynes et al.; 1966: 9; 1967: 12; Mead and Agenbroad; 1992
A-1653,,feces; fèces,Bison? sp.,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,12070,210,12070,210,,,palaeobiology; paléobiologie,42WN420,Cowboy Cave,,,Stratum 1,stratum 1b; probably disaggregated bison dung boluses,,,,Meltzer and Mead; 1985; Mead and Agenbroad; 1992; Agenbroad and Mead; 1989; Jennings; 1980; Faunmap 1069
A-1654,,feces; fèces,Bison? sp.,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,13040,440,13040,440,,,palaeobiology; paléobiologie,42WN420,Cowboy Cave,,,Stratum 1,stratum 1b; probably disaggregated bison dung boluses,,,,Meltzer and Mead; 1985; Mead and Agenbroad; 1992; Agenbroad and Mead; 1989; Jennings; 1980; Faunmap 1069
A-1660,,mammoth feces; fèces de mammouth,Mammuthus sp.,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,11020,180,11020,180,,,palaeobiology; paléobiologie,42WN420,Cowboy Cave,,,Stratum 1,stratum 1b,,,,Meltzer and Mead; 1985; Agenbroad and Mead; 1989; Jennings; 1980; Faunmap 1069
A-1800,,feces; fèces,Bison? sp.,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,12320,160,12320,160,,,palaeobiology; paléobiologie,42WN420,Cowboy Cave,,,Stratum 1,stratum 1b; probably disaggregated bison dung boluses,,,,Meltzer and Mead; 1985; Mead and Agenbroad; 1992; Agenbroad and Mead; 1989; Jennings; 1980; Faunmap 1069
A-3212,,mammoth feces; fèces de mammouth,Mammuthus sp.?,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,11670,300,-23.2,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,sample pit M; bolus M-1 of mammoth? dung,,,,Mead and Agenbroad; 1992; Davis et al.; 1984; 1985; Faunmap 1055
A-3213,,mammoth feces; fèces de mammouth,Mammuthus sp.?,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12900,160,-23.2,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,sample pit M; bolus M-2 of mammoth(?) dung,,,,Mead and Agenbroad; 1992; Faunmap 1055; Davis et al.; 1984
A-3296,,mammoth feces; fèces de mammouth,Mammuthus sp.?,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,11850,160,-25.7,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,test pit 1; 11N/1E; middle to base of dung unit; fragments of mammoth(?) dung,,,,Mead and Agenbroad; 1992; Faunmap 1055; Davis et al.; 1984
A-3297,,feces; fèces,,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12400,250,-21.9,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,test pit 1; 11N/1E; top of dung unit; loose material,,,,Mead and Agenbroad; 1992; Faunmap 1055; Davis et al.; 1984
A-3298,,mammoth feces; fèces de mammouth,Mammuthus sp.?,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12620,220,-18.4,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,test pit 1; 10N/2E; base of dung unit; fragment of mammoth(?) bolus,,,,Mead and Agenbroad; 1992; Faunmap 1055; Davis et al.; 1984
A-3514,,plant remains; restes de plantes,Quercus sp.,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,16700,250,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,oak twig recovered loose from the organic unit; indicating that plant remains were deposited before the beginning of most dung deposition,,,,Mead and Agenbroad; 1992; Davis et al.; 1985
AA-1109,,plant remains; restes de plantes,grass culms,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12470,140,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1110,,plant remains; restes de plantes,Atriplex sp.,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12390,120,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1111,,plant remains; restes de plantes,grass culms,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,13040,280,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 3,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1112,,plant remains; restes de plantes,Atriplex sp.,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12430,300,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1113,,plant remains; restes de plantes,grass culms,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12090,210,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1114,,plant remains; restes de plantes,sedge achenes,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12320,160,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1116,,plant remains; restes de plantes,grass culms,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12610,140,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1117,,plant remains; restes de plantes,Atriplex sp.,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12620,130,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1119,,plant remains; restes de plantes,grass culms,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12430,150,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1120,,plant remains; restes de plantes,grass culms,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12880,140,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1121,,plant remains; restes de plantes,Atriplex sp.,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12570,130,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1122,,plant remains; restes de plantes,sedge achenes,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12390,140,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1123,,plant remains; restes de plantes,grass culms,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,11870,140,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 1,,,,Faunmap 1055; Mead and Agenbroad; 1992
AA-1124,,plant remains; restes de plantes,Atriplex sp.,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,12570,100,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,extracted from a mammoth bolus in dung group 2,,,,Faunmap 1055; Mead and Agenbroad; 1992
Beta-2829,,mammoth bone collagen; collagène osseux de mammouth,Mammuthus sp.,,Grand County; Utah,a,,L.D. Agenbroad,,,,,,,,12800,370,,,palaeobiology; paléobiologie,42GR-?,Professor Valley,,,,alluvium,,,,Agenbroad and Mead; 1989; Faunmap 2792
Beta-14420,,feces; fèces,"""Euceratherium"" sp.",,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,20930,400,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,roof spall and eolian sediments unconformably overlying stratified alluvium,,,,Mead and Agenbroad; 1986; 1992
Beta-14422,,mammoth feces; fèces de mammouth,Mammuthus sp.,,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,28290,2100,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,dung bolus from the slop,,,,Agenbroad and Mead; 1989; Mead and Agenbroad; 1986; 1992; Faunmap 1449
Beta-14727,,plant remains; restes de plantes,Pseudotsuga menziesii needles and Acer sp. seeds,,Glen Canyon National Recreation Area; Garfield County?; Utah,a,,J.I. Mead,,,,,,,,11790,190,,,palaeobiology; paléobiologie,42GA-VP,BF Alcove,,,,associated with two dung pellets as large as a camel's (Camelops),,,,Mead and Agenbroad; 1986; 1992
Beta-18269,,feces; fèces,"""Euceratherium""",,southern Waterpocket Fold; Kane County; Utah,a,,J.I. Mead,,,,,,,,11630,150,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,a spring-green mass containing pellet forms,,,,Mead and Agenbroad; 1992
Beta-20705,,mammoth feces; fèces de mammouth,Mammuthus sp.,,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,16630,280,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,portion of a larger mammoth dung bolus that was deflating out of loose to slightly compacted sand at the horizontal surface of the alcove,,,,Mead and Agenbroad; 1992; Faunmap 1448
Beta-20995,,plant remains; restes de plantes,Pseudotsuga menziesii,,Glen Canyon National Recreation Area; Garfield County?; Utah,a,,J.I. Mead,,,,,,,,12130,170,,,palaeobiology; paléobiologie,42GA-VP,BF Alcove,,,,associated with two dung pellets as large as a camel's (Camelops),,,,Mead and Agenbroad; 1992
Beta-20996,,mammoth feces; fèces de mammouth,Mammuthus sp.,,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,26140,670,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,dung bolus from slope; 10.1 m depth,,,,Mead and Agenbroad; 1992; Faunmap 1449
Beta-22999,,bison feces; fèces de bison,Bison sp.,,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,15270,120,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,single bolus from slope; 3 m depth,,,,Mead and Agenbroad; 1992
Beta-23322,,feces; fèces,"""Euceratherium"" sp.",,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,18320,290,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,pellets from slope; 3.48 m depth,,,,Mead and Agenbroad; 1992
Beta-23323,,bison feces; fèces de bison,Bison sp.,,Kane County; Utah,a,,J.I. Mead,,,,,,,,18840,350,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,single; large dung bolus of pie consistency and shape,,,,Mead and Agenbroad; 1992; Faunmap 2794
